         1066820 function calls (925954 primitive calls) in 1.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 cache.py:64(_get_default_cache_path)
        1    0.000    0.000    0.001    0.001 docstrings.py:16(<module>)
       27    0.000    0.000    0.000    0.000 os.py:756(decode)
       65    0.000    0.000    0.000    0.000 enum.py:198(<genexpr>)
       44    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
        3    0.000    0.000    0.000    0.000 sre_parse.py:945(parse_template)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       11    0.000    0.000    0.000    0.000 traitlets.py:2129(__init__)
       18    0.000    0.000    0.000    0.000 argparse.py:908(__init__)
        2    0.000    0.000    0.000    0.000 coloransi.py:48(make_color_table)
        1    0.000    0.000    0.000    0.000 tempfile.py:24(<module>)
        1    0.000    0.000    0.001    0.001 coroutines.py:1(<module>)
        1    0.000    0.000    0.001    0.001 processors.py:7(<module>)
        1    0.000    0.000    0.000    0.000 renderer.py:4(<module>)
        1    0.000    0.000    0.000    0.000 toolbars.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ansitowin32.py:2(<module>)
       38    0.000    0.000    0.000    0.000 ansi.py:12(code_to_chars)
        1    0.000    0.000    0.014    0.014 typeshed.py:1(<module>)
        1    0.000    0.000    0.003    0.003 klass.py:38(<module>)
        1    0.000    0.000    0.000    0.000 annotation.py:6(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:5(<module>)
      155    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       39    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.000    0.000 os.py:44(<listcomp>)
        2    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        4    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
       21    0.000    0.000    0.000    0.000 traitlets.py:855(default)
       16    0.000    0.000    0.000    0.000 traitlets.py:2558(class_init)
       14    0.000    0.000    0.001    0.000 hashlib.py:116(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 profiledir.py:28(ProfileDir)
        1    0.000    0.000    0.001    0.001 history.py:472(HistoryManager)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streams.py:2(<module>)
        2    0.000    0.000    0.000    0.000 defaults.py:1(<module>)
       14    0.000    0.000    0.000    0.000 minicompat.py:101(defproperty)
        1    0.000    0.000    0.000    0.000 keys.py:10(Keys)
        1    0.000    0.000    0.000    0.000 completer.py:567(Completer)
       33    0.000    0.000    0.000    0.000 normalizer.py:76(register_rule)
        1    0.000    0.000    0.004    0.004 basic.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.close}
        7    0.000    0.000    0.000    0.000 posixpath.py:154(dirname)
      268    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
       46    0.000    0.000    0.000    0.000 six.py:105(__init__)
        1    0.000    0.000    0.003    0.003 subprocess.py:42(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
        1    0.000    0.000    0.007    0.007 configurable.py:2(<module>)
       11    0.000    0.000    0.000    0.000 loader.py:252(__getitem__)
        1    0.000    0.000    0.006    0.006 loader.py:2(<module>)
       11    0.000    0.000    0.005    0.000 argparse.py:283(format_help)
        4    0.000    0.000    0.000    0.000 util.py:381(wrapper)
       37    0.000    0.000    0.000    0.000 magic_arguments.py:180(__call__)
        1    0.000    0.000    0.000    0.000 prefilter.py:78(PrefilterManager)
        1    0.000    0.000    0.000    0.000 formatters.py:34(DisplayFormatter)
        1    0.000    0.000    0.000    0.000 _base.py:4(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 style.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:51(Script)
        1    0.000    0.000    0.000    0.000 parser_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixed.py:3(<module>)
        1    0.000    0.000    0.001    0.001 script.py:68(ScriptMagics)
        1    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
       96    0.000    0.000    0.000    0.000 enum.py:355(<genexpr>)
        4    0.000    0.000    0.000    0.000 weakref.py:356(__init__)
        1    0.000    0.000    1.376    1.376 sorts.py:1(<module>)
        1    0.000    0.000    0.008    0.008 py3compat.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:33(<module>)
       20    0.000    0.000    0.000    0.000 argparse.py:885(__init__)
        1    0.000    0.000    0.000    0.000 excolors.py:18(exception_colors)
        1    0.000    0.000    0.003    0.003 pty_spawn.py:1(<module>)
        1    0.000    0.000    0.003    0.003 magic_arguments.py:45(<module>)
        1    0.000    0.000    0.000    0.000 wildcard.py:22(create_typestr2type_dicts)
        1    0.000    0.000    0.000    0.000 unistring.py:13(<module>)
        5    0.000    0.000    0.000    0.000 backcall.py:27(callback_prototype)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        1    0.000    0.000    0.000    0.000 selector_events.py:5(<module>)
        1    0.000    0.000    0.000    0.000 base.py:17(Output)
        1    0.000    0.000    0.000    0.000 vt100.py:399(Vt100_Output)
        1    0.000    0.000    0.004    0.004 search.py:7(<module>)
        1    0.000    0.000    0.003    0.003 diff.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:34(_build_functions)
        1    0.000    0.000    0.000    0.000 module.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arguments.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dynamic_arrays.py:21(<module>)
        1    0.000    0.000    0.000    0.000 helpers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.002    0.002 history.py:36(HistoryMagics)
        1    0.000    0.000    0.001    0.001 namespace.py:33(NamespaceMagics)
        1    0.000    0.000    0.002    0.002 script.py:1(<module>)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 token.py:1(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
       35    0.000    0.000    0.000    0.000 traitlets.py:919(__init__)
       21    0.000    0.000    0.000    0.000 traitlets.py:941(class_init)
        5    0.000    0.000    0.000    0.000 traitlets.py:2151(<listcomp>)
       36    0.000    0.000    0.000    0.000 argparse.py:268(<listcomp>)
        9    0.000    0.000    0.000    0.000 argparse.py:1449(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        8    0.000    0.000    0.000    0.000 coloransi.py:113(__init__)
        8    0.000    0.000    0.000    0.000 ipstruct.py:41(__init__)
        1    0.000    0.000    0.001    0.001 ptyprocess.py:1(<module>)
        1    0.000    0.000    0.001    0.001 embed.py:29(EmbeddedMagics)
        4    0.000    0.000    0.000    0.000 typing.py:241(_tp_cache)
       15    0.000    0.000    0.000    0.000 lexer.py:45(__new__)
        1    0.000    0.000    0.001    0.001 html.py:10(<module>)
        1    0.000    0.000    0.000    0.000 alias.py:9(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:23(<module>)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:1(<module>)
        1    0.000    0.000    0.006    0.006 auto_suggest.py:13(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:1106(WindowRenderInfo)
        1    0.000    0.000    0.000    0.000 pep8.py:1(<module>)
        1    0.000    0.000    0.005    0.005 debug.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sys_path.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helpers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 names.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:18(decorator)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.003    0.003 osm.py:5(<module>)
      110    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
       11    0.000    0.000    0.000    0.000 argparse.py:663(_fill_text)
        1    0.000    0.000    0.006    0.006 debugger.py:17(<module>)
        1    0.000    0.000    0.000    0.000 py3compat.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pdb.py:136(Pdb)
       36    0.000    0.000    0.000    0.000 magic_arguments.py:224(__init__)
       48    0.000    0.000    0.000    0.000 typing.py:827(<genexpr>)
        1    0.000    0.000    0.000    0.000 pickleshare.py:34(<module>)
        1    0.000    0.000    0.000    0.000 displayhook.py:23(DisplayHook)
        1    0.000    0.000    0.000    0.000 formatters.py:567(PlainTextFormatter)
        1    0.000    0.000    0.000    0.000 current.py:1(<module>)
        1    0.000    0.000    0.003    0.003 run_in_terminal.py:3(<module>)
       49    0.000    0.000    0.000    0.000 named_commands.py:40(decorator)
        1    0.000    0.000    0.000    0.000 containers.py:477(VSplit)
        1    0.000    0.000    0.000    0.000 pygments.py:6(<module>)
        1    0.000    0.000    0.000    0.000 classes.py:46(BaseDefinition)
        1    0.000    0.000    0.000    0.000 value.py:44(CompiledValue)
        1    0.000    0.000    0.001    0.001 namespace.py:2(<module>)
        1    0.000    0.000    0.002    0.002 pylab.py:2(<module>)
       31    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
       69    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:62(<module>)
        1    0.000    0.000    0.005    0.005 _process_posix.py:4(<module>)
       11    0.000    0.000    0.000    0.000 magic_arguments.py:102(add_usage)
        1    0.000    0.000    0.000    0.000 pathlib.py:615(PurePath)
        5    0.000    0.000    0.001    0.000 typing.py:1418(__new__)
        1    0.000    0.000    0.000    0.000 mimetypes.py:24(<module>)
        1    0.000    0.000    0.002    0.002 display.py:4(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:801(SSLSocket)
        1    0.000    0.000    0.000    0.000 events.py:210(AbstractEventLoop)
       28    0.000    0.000    0.000    0.000 base.py:206(__init__)
        1    0.000    0.000    0.013    0.013 defaults.py:6(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:195(_Split)
        1    0.000    0.000    0.000    0.000 controls.py:509(BufferControl)
        1    0.000    0.000    0.000    0.000 margins.py:3(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:39(<module>)
        1    0.000    0.000    0.000    0.000 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 context.py:1(<module>)
        1    0.000    0.000    0.001    0.001 magics.py:1(<module>)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
        1    0.000    0.000    0.000    0.000 {built-in method posix.waitpid}
       11    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
        1    0.000    0.000    0.000    0.000 subprocess.py:1621(_wait)
        7    0.000    0.000    0.001    0.000 decorator.py:decorator-gen-1>:1(catch_config_error)
        1    0.000    0.000    0.000    0.000 spawnbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 profiledir.py:2(<module>)
        1    0.000    0.000    0.000    0.000 compilerop.py:11(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1509(datetime)
        1    0.000    0.000    0.003    0.003 python.py:10(<module>)
        1    0.000    0.000    0.000    0.000 sslproto.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 async_generator.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:167(DummyOutput)
        1    0.000    0.000    0.000    0.000 patch_stdout.py:71(StdoutProxy)
        1    0.000    0.000    0.000    0.000 fuzzy_completer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nested.py:3(<module>)
        1    0.000    0.000    0.000    0.000 typeahead.py:33(<module>)
       49    0.000    0.000    0.000    0.000 named_commands.py:35(register)
        1    0.000    0.000    0.000    0.000 completion.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:104(TextArea)
        1    0.000    0.000    0.000    0.000 token.py:17(__init__)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
       25    0.000    0.000    0.000    0.000 cache.py:58(inference_state_method_cache)
       15    0.000    0.000    0.000    0.000 filters.py:351(decorator)
        1    0.000    0.000    0.000    0.000 analysis.py:3(<module>)
        1    0.000    0.000    0.014    0.014 stub_value.py:1(<module>)
        1    0.000    0.000    0.006    0.006 feedparser.py:20(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
    28/23    0.000    0.000    0.000    0.000 abc.py:141(__subclasscheck__)
        6    0.000    0.000    0.000    0.000 functools.py:492(decorating_function)
        2    0.000    0.000    0.000    0.000 functools.py:763(singledispatch)
       44    0.000    0.000    0.000    0.000 argparse.py:249(add_text)
       11    0.000    0.000    0.000    0.000 argparse.py:253(add_usage)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10d608ef0}
       29    0.000    0.000    0.000    0.000 skipdoctest.py:12(skip_doctest)
        1    0.000    0.000    0.000    0.000 terminal.py:10(<module>)
        1    0.000    0.000    0.001    0.001 paths.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:119(_WindowsFlavour)
        1    0.000    0.000    0.000    0.000 magic.py:304(MagicsManager)
        1    0.000    0.000    0.000    0.000 python.py:871(DgLexer)
        1    0.000    0.000    0.000    0.000 formatters.py:287(BaseFormatter)
        1    0.000    0.000    0.001    0.001 history.py:138(HistoryAccessor)
        1    0.000    0.000    0.000    0.000 hooks.py:29(<module>)
        1    0.000    0.000    0.000    0.000 auto_suggest.py:85(ThreadedAutoSuggest)
        1    0.000    0.000    0.011    0.011 base.py:2(<module>)
        1    0.000    0.000    0.000    0.000 key_processor.py:68(KeyProcessor)
        1    0.000    0.000    0.000    0.000 key_processor.py:8(<module>)
        1    0.000    0.000    0.000    0.000 controls.py:81(UIControl)
        1    0.000    0.000    0.000    0.000 screen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vt100_parser.py:67(Vt100Parser)
        1    0.000    0.000    0.000    0.000 dummy.py:4(<module>)
        1    0.000    0.000    0.000    0.000 grammar.py:20(Grammar)
       18    0.000    0.000    0.000    0.000 stdlib.py:155(f)
        1    0.000    0.000    0.000    0.000 pytest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ptutils.py:5(<module>)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.002    0.002 history.py:2(<module>)
        1    0.000    0.000    0.002    0.002 pylab.py:37(PylabMagics)
        1    0.000    0.000    0.000    0.000 backgroundjobs.py:23(<module>)
       20    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
       22    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
       78    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        2    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      118    0.000    0.000    0.000    0.000 inspect.py:2835(parameters)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
        1    0.000    0.000    0.000    0.000 threading.py:216(__init__)
        3    0.000    0.000    0.000    0.000 platform.py:1149(_sys_version)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        1    0.000    0.000    0.000    0.000 configurable.py:33(Configurable)
       11    0.000    0.000    0.000    0.000 loader.py:283(__setattr__)
        1    0.000    0.000    0.017    0.017 crashhandler.py:8(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coloransi.py:3(<module>)
        1    0.000    0.000    0.005    0.005 process.py:4(<module>)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
       11    0.000    0.000    0.010    0.001 magic_arguments.py:201(__call__)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        1    0.000    0.000    0.000    0.000 datetime.py:774(date)
        1    0.000    0.000    0.000    0.000 regexopt.py:11(<module>)
        1    0.000    0.000    0.000    0.000 alias.py:192(AliasManager)
        1    0.000    0.000    0.000    0.000 backcall.py:6(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:133(socket)
        1    0.000    0.000    0.000    0.000 base_subprocess.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:22(Completion)
        1    0.000    0.000    0.011    0.011 __init__.py:12(<module>)
        1    0.000    0.000    0.000    0.000 named_colors.py:4(<module>)
        1    0.000    0.000    0.000    0.000 patch_stdout.py:19(<module>)
        1    0.000    0.000    0.000    0.000 minidom.py:344(Attr)
        1    0.000    0.000    0.000    0.000 key_processor.py:423(KeyPressEvent)
        1    0.000    0.000    0.000    0.000 base.py:16(Input)
        1    0.000    0.000    0.000    0.000 containers.py:239(HSplit)
        1    0.000    0.000    0.000    0.000 emacs.py:2(<module>)
        1    0.000    0.000    0.000    0.000 renderer.py:280(Renderer)
        1    0.000    0.000    0.000    0.000 dialogs.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base.py:91(ProgressBar)
        1    0.000    0.000    0.000    0.000 base.py:312(ProgressBarCounter)
        1    0.000    0.000    0.001    0.001 tree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:11(Parser)
        1    0.000    0.000    0.004    0.004 initialise.py:2(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 settings.py:49(<module>)
       37    0.000    0.000    0.000    0.000 cache.py:22(func)
        1    0.000    0.000    0.000    0.000 functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 project.py:1(<module>)
        1    0.000    0.000    0.000    0.000 references.py:1(<module>)
        1    0.000    0.000    0.006    0.006 parser.py:5(<module>)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 packaging.py:2(<module>)
        1    0.000    0.000    0.000    0.000 storemagic.py:11(<module>)
       14    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 os.py:1004(close)
        8    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
       22    0.000    0.000    0.002    0.000 gettext.py:624(gettext)
      113    0.000    0.000    0.000    0.000 inspect.py:2839(return_annotation)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        5    0.000    0.000    0.000    0.000 traitlets.py:2150(__init__)
        4    0.000    0.000    0.005    0.001 platform.py:1061(system)
       10    0.000    0.000    0.000    0.000 application.py:670(boolean_flag)
       15    0.000    0.000    0.000    0.000 loader.py:150(_is_section_key)
        1    0.000    0.000    0.000    0.000 debugger.py:195(Pdb)
        1    0.000    0.000    0.000    0.000 bdb.py:17(Bdb)
        1    0.000    0.000    0.000    0.000 ptyprocess.py:128(PtyProcess)
        1    0.000    0.000    0.000    0.000 embed.py:110(InteractiveShellEmbed)
        1    0.000    0.000    0.000    0.000 pathlib.py:1005(Path)
        1    0.000    0.000    0.000    0.000 mimetypes.py:384(_default_mime_types)
        3    0.000    0.000    0.000    0.000 datetime.py:1517(__new__)
       59    0.000    0.000    0.000    0.000 lexer.py:305(bygroups)
        1    0.000    0.000    0.000    0.000 prefilter.py:344(PrefilterTransformer)
        1    0.000    0.000    0.000    0.000 prefilter.py:532(PrefilterHandler)
        1    0.000    0.000    0.000    0.000 builtin_trap.py:3(<module>)
        5    0.000    0.000    0.000    0.000 events.py:96(_define_event)
        1    0.000    0.000    0.000    0.000 displaypub.py:13(<module>)
        1    0.000    0.000    0.000    0.000 async_helpers.py:11(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selector_events.py:47(BaseSelectorEventLoop)
        1    0.000    0.000    0.002    0.002 inputhook.py:24(<module>)
        1    0.000    0.000    0.000    0.000 wcwidth.py:70(<module>)
        1    0.000    0.000    0.000    0.000 cli.py:4(<module>)
        1    0.000    0.000    0.000    0.000 history.py:8(<module>)
        1    0.000    0.000    0.000    0.000 key_bindings.py:166(KeyBindings)
        1    0.000    0.000    0.000    0.000 validation.py:4(<module>)
        1    0.000    0.000    0.000    0.000 page_navigation.py:4(<module>)
        1    0.000    0.000    0.010    0.010 basic.py:2(<module>)
        1    0.000    0.000    0.000    0.000 dimension.py:4(<module>)
        1    0.000    0.000    0.000    0.000 layout.py:3(<module>)
        1    0.000    0.000    0.000    0.000 auto_suggest.py:3(<module>)
        1    0.000    0.000    0.000    0.000 open_in_editor.py:3(<module>)
        1    0.000    0.000    0.002    0.002 generator.py:27(<module>)
       13    0.000    0.000    0.000    0.000 token.py:5(__init__)
        1    0.000    0.000    0.000    0.000 prefix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 normalizer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recursion.py:27(<module>)
        1    0.000    0.000    0.000    0.000 access.py:178(DirectObjectAccess)
        1    0.000    0.000    0.000    0.000 signature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generics.py:4(<module>)
        1    0.000    0.000    0.000    0.000 param.py:1(<module>)
        7    0.000    0.000    0.000    0.000 helpers.py:437(validate_line_column)
        1    0.000    0.000    0.000    0.000 strings.py:9(<module>)
        1    0.000    0.000    0.000    0.000 request.py:323(Request)
        1    0.000    0.000    0.000    0.000 client.py:789(HTTPConnection)
       29    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        6    0.000    0.000    0.000    0.000 re.py:252(escape)
        1    0.000    0.000    0.000    0.000 line_profiler.py:71(LineProfiler)
        1    0.000    0.000    0.000    0.000 pickle.py:372(_Pickler)
        1    0.000    0.000    0.000    0.000 struct.py:3(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        4    0.000    0.000    0.000    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:899(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 threading.py:744(Thread)
        2    0.000    0.000    0.000    0.000 traitlets.py:823(validate)
       58    0.000    0.000    0.000    0.000 traitlets.py:900(_init_call)
       21    0.000    0.000    0.000    0.000 traitlets.py:938(__init__)
        1    0.000    0.000    0.000    0.000 traitlets.py:980(HasTraits)
        6    0.000    0.000    0.000    0.000 traitlets.py:1530(__init__)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        2    0.000    0.000    0.000    0.000 encoding.py:4(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1608(_try_wait)
        1    0.000    0.000    0.000    0.000 subprocess.py:633(Popen)
       68    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       11    0.000    0.000    0.000    0.000 loader.py:275(__getattr__)
       22    0.000    0.000    0.000    0.000 argparse.py:245(end_section)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        8    0.000    0.000    0.001    0.000 hashlib.py:73(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 display_trap.py:9(<module>)
        1    0.000    0.000    0.000    0.000 pty_spawn.py:29(spawn)
        1    0.000    0.000    0.001    0.001 pty.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        3    0.000    0.000    0.000    0.000 magic.py:178(_method_magic_marker)
        1    0.000    0.000    0.000    0.000 oinspect.py:355(Inspector)
        1    0.000    0.000    0.000    0.000 getpass.py:11(<module>)
        1    0.000    0.000    0.000    0.000 prefilter.py:374(PrefilterChecker)
        1    0.000    0.000    0.000    0.000 extensions.py:2(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:390(SSLContext)
        1    0.000    0.000    0.000    0.000 ssl.py:642(SSLObject)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:32(Future)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 buffer.py:69(CompletionState)
        5    0.000    0.000    0.000    0.000 cache.py:23(__init__)
        1    0.000    0.000    0.000    0.000 pygments.py:8(<module>)
        1    0.000    0.000    0.000    0.000 xmlbuilder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:6(<module>)
        1    0.000    0.000    0.002    0.002 keys.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:740(FloatContainer)
        1    0.000    0.000    0.000    0.000 containers.py:1327(ScrollOffsets)
        1    0.000    0.000    0.000    0.000 utils.py:12(_ExplodedList)
        1    0.000    0.000    0.000    0.000 mouse_handlers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 screen.py:18(Char)
        1    0.000    0.000    0.000    0.000 dummy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 menus.py:33(MenuContainer)
        1    0.000    0.000    0.000    0.000 generics.py:3(<module>)
        1    0.000    0.000    0.056    0.056 __init__.py:34(<module>)
        1    0.000    0.000    0.000    0.000 normalizer.py:14(Normalizer)
        1    0.000    0.000    0.000    0.000 cache.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:85(InferenceState)
       37    0.000    0.000    0.000    0.000 cache.py:13(_memoize_default)
        1    0.000    0.000    0.000    0.000 cache.py:5(<module>)
        4    0.000    0.000    0.000    0.000 utils.py:52(reraise_uncaught)
        1    0.000    0.000    0.000    0.000 signature.py:120(BuiltinSignature)
        1    0.000    0.000    0.000    0.000 function.py:177(BaseFunctionExecutionContext)
        1    0.000    0.000    0.000    0.000 type_var.py:1(<module>)
        1    0.000    0.000    0.000    0.000 file_name.py:1(<module>)
        1    0.000    0.000    0.001    0.001 registry.py:3(<module>)
        1    0.000    0.000    0.000    0.000 magics.py:38(TerminalMagics)
        1    0.000    0.000    0.001    0.001 code.py:173(CodeMagics)
        1    0.000    0.000    0.004    0.004 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
