         1066820 function calls (925954 primitive calls) in 1.375 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1385/884    0.001    0.000    0.001    0.000 typing.py:664(__hash__)
     2664    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      478    0.001    0.000    0.002    0.000 enum.py:70(__setitem__)
     3195    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
       35    0.001    0.000    0.001    0.000 textwrap.py:233(_wrap_chunks)
       64    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      540    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      574    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      805    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      563    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
     1016    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     2749    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      540    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1048    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
      127    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       35    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
     1063    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
  224/132    0.001    0.000    0.005    0.000 typing.py:340(__getitem__)
      155    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       34    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
      115    0.000    0.000    0.021    0.000 sre_compile.py:759(compile)
     1524    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      112    0.000    0.000    0.012    0.000 decorator.py:225(decorate)
      563    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      508    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      155    0.000    0.000    0.003    0.000 abc.py:125(__new__)
      585    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      117    0.000    0.000    0.012    0.000 decorator.py:197(create)
      424    0.000    0.000    0.001    0.000 typing.py:165(_collect_type_vars)
        1    0.000    0.000    0.000    0.000 {built-in method _posixsubprocess.fork_exec}
     3381    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      508    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
     3047    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1645    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      572    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
      890    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     1673    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:855(__enter__)
     1673    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:859(__exit__)
      118    0.000    0.000    0.003    0.000 inspect.py:2198(_signature_from_callable)
        1    0.000    0.000    0.001    0.001 buffer.py:170(Buffer)
      508    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      271    0.000    0.000    0.001    0.000 inspect.py:2467(__init__)
      538    0.000    0.000    0.004    0.000 enum.py:284(__call__)
      558    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      508    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     3047    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      148    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
     1132    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      115    0.000    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
2383/1608    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       90    0.000    0.000    0.003    0.000 traitlets.py:722(__new__)
